grievance_id,text,category,,,,,,,,,,,,,,,,,,,,,,,
GRVH900075,"Sir/Madam, Patna mein bijli two weeks se gayab h, transformer kharab ho gaya lagta hai. ????? ???? ???????? ?????",Electricity,,,,,,,,,,,,,,,,,,,,,,,
GRVH900500,"Namaste sir, Ration dealer Adhartal mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900036,"Drinking water contaminated hai Sector 7 mein, please send sample testing team. Thank you.",Water Supply,,,,,,,,,,,,,,,,,,,,,,,
GRVH900436,"Passbook update Model Town bank branch mein two weeks se nahi ho raha, staff kaam nahi kar rahe. Bahut pareshaan hain hum log.",Banking & Financial Services,,,,,,,,,,,,,,,,,,,,,,,
GRVH900160,"?????, Mohd. Salim ki pension 3 days se nahi mili hai, bank account Wright Town branch mein hai. ????? ???? ???????? ?????",Pension & Provident Fund,,,,,,,,,,,,,,,,,,,,,,,
GRVH900581,"Death certificate apply kiya tha one week pehle Ward 12 mein, abhi tak nhi mila. Otherwise we will protest.",Municipal Certificates,,,,,,,,,,,,,,,,,,,,,,,
GRVH900217,"Namaste sir, ???? ????? Patna ??? 3 days ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Thank you.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
GRVH900515,"Ration dealer Indore mein har mahine paise leta hai anaj dene ke liye, complaint dena chahta hoon.",Corruption & Bribery,,,,,,,,,,,,,,,,,,,,,,,
GRVH900082,"Dear officer, Flyover construction Patna mein delay ho raha hai 20 din se, traffic diversion se logo ko dikkat.",Roads & Infrastructure,,,,,,,,,,,,,,,,,,,,,,,
GRVH900344,"Government school Lucknow mein books 1 hafta se distribute nahi hui, session shuru ho chuka hai. Otherwise we will protest.",Education & Schools,,,,,,,,,,,,,,,,,,,,,,,
GRVH900221,"Namaste sir, ???? ????? Varanasi ??? 10 din ?? ?????? ?? ??? ????? ??, ??? ?????? ???? ?? ???? Please take urgent action.",Land Records & Revenue,,,,,,,,,,,,,,,,,,,,,,,
