text,category,
My bank account has been frozen and the branch is not explaining the reason.,Banking & Financial Services,
Mere bank account se paise deduct hue lekin transaction complete nahi hua.,Banking & Financial Services,
Bank branch mein passbook update karwane ke liye bahut wait karna pad raha hai.,Banking & Financial Services,
My ATM transaction failed but the amount was still deducted from my account.,Banking & Financial Services,
Bank wale meri account details update nahi kar rahe hain.,Banking & Financial Services,
Mere account mein online transfer ka paisa abhi tak receive nahi hua.,Banking & Financial Services,
The bank is refusing to resolve an issue with my account.,Banking & Financial Services,
The officer asked me for extra money to process my application.,Corruption & Bribery,
Kaam jaldi karne ke liye mujhse rishwat maangi ja rahi hai.,Corruption & Bribery,
A government employee demanded money before approving my request.,Corruption & Bribery,
Mere documents verify karne ke liye clerk paise maang raha hai.,Corruption & Bribery,
The official will not complete my work unless I pay him.,Corruption & Bribery,
Sarkari daftar mein kaam karwane ke badle extra paise maange gaye.,Corruption & Bribery,
I was asked to pay a bribe for a service that should be free.,Corruption & Bribery,
The government school in my village does not have enough teachers.,Education & Schools,
Mere bachche ko school se required books nahi mili hain.,Education & Schools,
There are not enough classrooms for students in our school.,Education & Schools,
My school has not started the new academic session properly.,Education & Schools,
Government school mein teacher regular classes nahi lete.,Education & Schools,
The school is charging students an unauthorized fee.,Education & Schools,
Meri beti ke school mein basic educational facilities available nahi hain.,Education & Schools,
Our locality has been facing frequent power cuts every evening.,Electricity,
Hamare ghar mein voltage bahut low aa raha hai.,Electricity,
The electricity meter at my house is showing incorrect readings.,Electricity,
Transformer failure has left several houses without power.,Electricity,
Bijli ka bill achanak bahut zyada aa gaya hai.,Electricity,
The power supply in our village has been irregular for a week.,Electricity,
Mere ghar ke paas damaged electric pole ki wajah se problem ho rahi hai.,Electricity,
My employer has not paid my salary for the last two months.,Employment & Labour,
Mujhe kaam karne ke baad bhi overtime ka payment nahi mila.,Employment & Labour,
The contractor has not paid the workers on the project.,Employment & Labour,
I have not received my wages despite completing the assigned work.,Employment & Labour,
Construction workers in our area are being denied their pending wages.,Employment & Labour,
Meri company ne bina notice ke meri salary rok di hai.,Employment & Labour,
The labour contractor is not providing the agreed employment benefits.,Employment & Labour,
The government hospital does not have the medicine prescribed to me.,Healthcare & Hospitals,
Hospital mein doctor available nahi hone ki wajah se treatment delay ho raha hai.,Healthcare & Hospitals,
There are no beds available in the public hospital.,Healthcare & Hospitals,
My treatment at the government hospital has been delayed repeatedly.,Healthcare & Hospitals,
The hospital pharmacy is out of essential medicines.,Healthcare & Hospitals,
Ambulance service did not arrive when we called the hospital.,Healthcare & Hospitals,
Mere area ke health centre mein doctor regular nahi aate.,Healthcare & Hospitals,
My name has not been added to the land record after the property transfer.,Land Records & Revenue,
Meri zameen ke khasra record mein galat information hai.,Land Records & Revenue,
The mutation request for my property is still pending.,Land Records & Revenue,
Patwari office mein meri land record correction request pending hai.,Land Records & Revenue,
The revenue record shows incorrect details about my agricultural land.,Land Records & Revenue,
Mere plot ke documents mein area galat mention kiya gaya hai.,Land Records & Revenue,
I have been waiting for the updated ownership record of my land.,Land Records & Revenue,
I applied for a birth certificate but have not received it yet.,Municipal Certificates,
Mere child ka birth certificate abhi tak issue nahi hua.,Municipal Certificates,
The municipal office has not provided my death certificate.,Municipal Certificates,
I submitted the certificate application weeks ago and there is no update.,Municipal Certificates,
Municipality mein birth certificate ke liye application process nahi ho raha.,Municipal Certificates,
My requested municipal certificate contains incorrect information.,Municipal Certificates,
The municipal office is delaying the issue of my certificate.,Municipal Certificates,
My pension payment has been delayed for the second month.,Pension & Provident Fund,
Mere pension account mein monthly pension credit nahi hui.,Pension & Provident Fund,
I submitted my pension documents but the payment has not started.,Pension & Provident Fund,
My provident fund amount has not been credited after retirement.,Pension & Provident Fund,
Pension office mein meri application ka status update nahi ho raha.,Pension & Provident Fund,
The pension amount received in my account is incorrect.,Pension & Provident Fund,
Mera PF withdrawal request abhi tak process nahi hua.,Pension & Provident Fund,
The police station has not registered my complaint.,Police & Law and Order,
Police ne meri written complaint receive karne se mana kar diya.,Police & Law and Order,
I reported a theft but no action has been taken yet.,Police & Law and Order,
The police have not started investigating my complaint.,Police & Law and Order,
Meri FIR ki copy mujhe abhi tak nahi di gayi.,Police & Law and Order,
I have been waiting for police action on my complaint for several days.,Police & Law and Order,
The local police station is not responding to my repeated complaints.,Police & Law and Order,
The ration shop has not provided my family with the full monthly quota.,Ration & Public Distribution System,
Ration dealer har mahine kam anaj deta hai.,Ration & Public Distribution System,
My ration card details are not being updated at the fair price shop.,Ration & Public Distribution System,
The government ration shop in our village remains closed during distribution hours.,Ration & Public Distribution System,
I am not receiving the food grains assigned to my ration card.,Ration & Public Distribution System,
Ration shopkeeper is refusing to give me my entitled grains.,Ration & Public Distribution System,
Mere ration card par family members ki details galat hain.,Ration & Public Distribution System,
The main road in our locality has several large potholes.,Roads & Infrastructure,
Hamare area ki sadak baarish ke baad bahut kharab ho gayi hai.,Roads & Infrastructure,
A broken bridge is making it difficult for villagers to travel.,Roads & Infrastructure,
The street lights on our road have not been working for weeks.,Roads & Infrastructure,
There is no proper road connecting our village to the highway.,Roads & Infrastructure,
Potholes on the main road are causing accidents.,Roads & Infrastructure,
The footpath near the market is damaged and unsafe.,Roads & Infrastructure,
Garbage has been lying outside our houses for several days.,Sanitation & Garbage,
Hamare area mein garbage collection regular nahi hota.,Sanitation & Garbage,
The public toilet near our market is extremely dirty.,Sanitation & Garbage,
There is a foul smell coming from the open waste dumped near our street.,Sanitation & Garbage,
Nali ki safai nahi hone se ganda paani road par aa raha hai.,Sanitation & Garbage,
Waste has accumulated near the residential area and nobody is removing it.,Sanitation & Garbage,
The community toilet has not been cleaned for many days.,Sanitation & Garbage,
There has been no water supply in our neighborhood since yesterday.,Water Supply,
Hamare ghar mein nal ka paani bahut kam pressure se aa raha hai.,Water Supply,
The municipal water pipeline in our street has developed a leak.,Water Supply,
Mere village mein drinking water ki supply irregular hai.,Water Supply,
Our locality receives water only for a few minutes each day.,Water Supply,
The water tanker has not arrived despite the shortage.,Water Supply,
People in our ward are facing a shortage of clean drinking water.,Water Supply,
